Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,(APPLE,AAPL,INC.),(APPLE,AAPL,INC.),(APPLE,AAPL,INC.),(APPLE,AAPL,INC.),(APPLE,AAPL,INC.),(APPLE,AAPL,INC.)
Date,,,,,,,,,,,,,,,,,,
2021-03-01,,125.59965515136719,,,127.79000091552734,,,127.93000030517578,,,122.79000091552734,,,123.75,,,116307900,
2021-03-02,,122.97541046142578,,,125.12000274658203,,,128.72000122070312,,,125.01000213623047,,,128.41000366210938,,,102260900,
2021-03-03,,119.96785736083984,,,122.05999755859375,,,125.70999908447266,,,121.83999633789062,,,124.80999755859375,,,112966300,
2021-03-04,,118.0709457397461,,,120.12999725341797,,,123.5999984741211,,,118.62000274658203,,,121.75,,,178155000,
2021-03-05,,119.33882141113281,,,121.41999816894531,,,121.94000244140625,,,117.56999969482422,,,120.9800033569336,,,153766600,
2021-03-08,,114.36554718017578,,,116.36000061035156,,,121.0,,,116.20999908447266,,,120.93000030517578,,,154376600,
2021-03-09,,119.01448059082031,,,121.08999633789062,,,122.05999755859375,,,118.79000091552734,,,119.02999877929688,,,129525800,
2021-03-10,,117.92351531982422,,,119.9800033569336,,,122.16999816894531,,,119.44999694824219,,,121.69000244140625,,,111943300,
2021-03-11,,119.86956024169922,,,121.95999908447266,,,123.20999908447266,,,121.26000213623047,,,122.54000091552734,,,103026500,
2021-03-12,,118.95550537109375,,,121.02999877929688,,,121.16999816894531,,,119.16000366210938,,,120.4000015258789,,,88105100,
2021-03-15,,121.86477661132812,,,123.98999786376953,,,124.0,,,120.41999816894531,,,121.41000366210938,,,92403800,
2021-03-16,,123.41769409179688,,,125.56999969482422,,,127.22000122070312,,,124.72000122070312,,,125.69999694824219,,,115227900,
2021-03-17,,122.62157440185547,,,124.76000213623047,,,125.86000061035156,,,122.33999633789062,,,124.05000305175781,,,111932600,
2021-03-18,,118.4640884399414,,,120.52999877929688,,,123.18000030517578,,,120.31999969482422,,,122.87999725341797,,,121229700,
2021-03-19,,117.933349609375,,,119.98999786376953,,,121.43000030517578,,,119.68000030517578,,,119.9000015258789,,,185549500,
2021-03-22,,121.27506256103516,,,123.38999938964844,,,123.87000274658203,,,120.26000213623047,,,120.33000183105469,,,111912300,
2021-03-23,,120.43963623046875,,,122.54000091552734,,,124.23999786376953,,,122.13999938964844,,,123.33000183105469,,,95467100,
2021-03-24,,118.03162384033203,,,120.08999633789062,,,122.9000015258789,,,120.06999969482422,,,122.81999969482422,,,88530500,
2021-03-25,,118.5230484008789,,,120.58999633789062,,,121.66000366210938,,,119.0,,,119.54000091552734,,,98844700,
2021-03-26,,119.13243865966797,,,121.20999908447266,,,121.4800033569336,,,118.91999816894531,,,120.3499984741211,,,94071200,
2021-03-29,,119.30934143066406,,,121.38999938964844,,,122.58000183105469,,,120.7300033569336,,,121.6500015258789,,,80819200,
2021-03-30,,117.84488677978516,,,119.9000015258789,,,120.4000015258789,,,118.86000061035156,,,120.11000061035156,,,85671900,
2021-03-31,,120.05631256103516,,,122.1500015258789,,,123.5199966430664,,,121.1500015258789,,,121.6500015258789,,,118323800,
2021-04-01,,120.8917465209961,,,123.0,,,124.18000030517578,,,122.48999786376953,,,123.66000366210938,,,75089100,
2021-04-05,,123.7420425415039,,,125.9000015258789,,,126.16000366210938,,,123.06999969482422,,,123.87000274658203,,,88651200,
2021-04-06,,124.04671478271484,,,126.20999908447266,,,127.12999725341797,,,125.6500015258789,,,126.5,,,80171300,
2021-04-07,,125.70777130126953,,,127.9000015258789,,,127.91999816894531,,,125.13999938964844,,,125.83000183105469,,,83466700,
2021-04-08,,128.1256103515625,,,130.36000061035156,,,130.38999938964844,,,128.52000427246094,,,128.9499969482422,,,88844600,
2021-04-09,,130.72035217285156,,,133.0,,,133.0399932861328,,,129.47000122070312,,,129.8000030517578,,,106686700,
2021-04-12,,128.99050903320312,,,131.24000549316406,,,132.85000610351562,,,130.6300048828125,,,132.52000427246094,,,91420000,
2021-04-13,,132.1258544921875,,,134.42999267578125,,,134.66000366210938,,,131.92999267578125,,,132.44000244140625,,,91266500,
2021-04-14,,129.7669677734375,,,132.02999877929688,,,135.0,,,131.66000366210938,,,134.94000244140625,,,87222800,
2021-04-15,,132.1946563720703,,,134.5,,,135.0,,,133.63999938964844,,,133.82000732421875,,,89347100,
2021-04-16,,131.86050415039062,,,134.16000366210938,,,134.6699981689453,,,133.27999877929688,,,134.3000030517578,,,84922400,
2021-04-19,,132.52882385253906,,,134.83999633789062,,,135.47000122070312,,,133.33999633789062,,,133.50999450683594,,,94264200,
2021-04-20,,130.82847595214844,,,133.11000061035156,,,135.52999877929688,,,131.80999755859375,,,135.02000427246094,,,94812300,
2021-04-21,,131.21176147460938,,,133.5,,,133.75,,,131.3000030517578,,,132.36000061035156,,,68847100,
2021-04-22,,129.6785125732422,,,131.94000244140625,,,134.14999389648438,,,131.41000366210938,,,133.0399932861328,,,84566500,
